"Date","Price","Open","High","Low","Change %"
"Jun 18, 2019","7.022","7.133","7.133","7.022","-1.78%"
"Jun 17, 2019","7.149","7.171","7.182","7.149","0.14%"
"Jun 14, 2019","7.139","7.273","7.273","7.139","-1.83%"
"Jun 13, 2019","7.272","7.278","7.289","7.267","0.21%"
"Jun 12, 2019","7.257","7.289","7.295","7.257","-0.52%"
"Jun 11, 2019","7.295","7.344","7.344","7.284","0.08%"
"Jun 10, 2019","7.289","7.327","7.333","7.289","0.62%"
"Jun 07, 2019","7.244","7.278","7.289","7.244","0.42%"
"Jun 06, 2019","7.214","7.333","7.333","7.192","-1.33%"
"Jun 04, 2019","7.311","7.355","7.355","7.306","0.37%"
"Jun 03, 2019","7.284","7.272","7.311","7.241","-0.15%"
"May 31, 2019","7.295","7.344","7.377","7.295","-1.47%"
"May 30, 2019","7.404","7.399","7.443","7.388","0.42%"
"May 29, 2019","7.373","7.421","7.421","7.373","-0.42%"
"May 28, 2019","7.404","7.459","7.459","7.404","-0.59%"
"May 27, 2019","7.448","7.509","7.509","7.448","-0.60%"
"May 24, 2019","7.493","7.496","7.496","7.482","-0.12%"
"May 23, 2019","7.502","7.500","7.532","7.498","-0.44%"
"May 22, 2019","7.535","7.571","7.571","7.535","-0.37%"
"May 21, 2019","7.563","7.617","7.617","7.563","0.13%"
"May 20, 2019","7.553","7.570","7.582","7.548","-0.74%"
"May 17, 2019","7.609","7.609","7.609","7.609","0.07%"
"May 16, 2019","7.604","7.604","7.604","7.604","0.03%"
"May 15, 2019","7.602","7.633","7.633","7.602","0.04%"
"May 14, 2019","7.599","7.655","7.655","7.596","-0.17%"
"May 13, 2019","7.612","7.667","7.667","7.612","-0.59%"
"May 10, 2019","7.657","7.655","7.657","7.655","0.21%"
"May 09, 2019","7.641","7.661","7.661","7.641","0.10%"
"May 08, 2019","7.633","7.667","7.678","7.633","-0.37%"
"May 07, 2019","7.661","7.723","7.723","7.661","0.13%"
"May 06, 2019","7.651","7.695","7.695","7.651","-0.65%"
"May 03, 2019","7.701","7.712","7.712","7.689","0.06%"
"May 02, 2019","7.696","7.729","7.729","7.696","-0.44%"
"Apr 30, 2019","7.730","7.753","7.753","7.730","-0.08%"
"Apr 26, 2019","7.736","7.753","7.753","7.736","-0.25%"
"Apr 25, 2019","7.755","7.798","7.798","7.755","0.41%"
"Apr 24, 2019","7.723","7.786","7.786","7.716","-0.83%"
"Apr 23, 2019","7.788","7.809","7.809","7.788","-0.12%"
"Apr 22, 2019","7.797","7.832","7.832","7.797","0.57%"
"Apr 18, 2019","7.753","7.764","7.764","7.753","0.25%"
"Apr 16, 2019","7.734","7.764","7.764","7.734","-0.17%"
"Apr 15, 2019","7.747","7.747","7.747","7.747","0.43%"
"Apr 12, 2019","7.714","7.764","7.764","7.714","-0.08%"
"Apr 11, 2019","7.720","7.764","7.764","7.720","-0.06%"
"Apr 10, 2019","7.725","7.753","7.809","7.725","0.06%"
"Apr 09, 2019","7.720","7.775","7.775","7.720","-0.28%"
"Apr 08, 2019","7.742","7.719","7.798","7.719","0.74%"
"Apr 05, 2019","7.685","7.697","7.719","7.685","0.33%"
"Apr 04, 2019","7.660","7.660","7.660","7.660","1.06%"
"Apr 03, 2019","7.580","7.608","7.608","7.580","0.00%"
"Apr 02, 2019","7.580","7.653","7.653","7.575","-0.60%"
"Mar 29, 2019","7.626","7.664","7.664","7.626","0.05%"
"Mar 28, 2019","7.622","7.664","7.664","7.622","-0.33%"
"Mar 27, 2019","7.647","7.675","7.675","7.647","0.08%"
"Mar 26, 2019","7.641","7.692","7.692","7.641","0.01%"
"Mar 25, 2019","7.640","7.692","7.692","7.640","-0.66%"
"Mar 22, 2019","7.691","7.731","7.731","7.669","-0.26%"
"Mar 20, 2019","7.711","7.787","7.787","7.711","-0.54%"
"Mar 19, 2019","7.753","7.765","7.769","7.713","0.43%"
"Mar 18, 2019","7.720","7.776","7.776","7.720","-0.72%"
"Mar 15, 2019","7.776","7.810","7.844","7.776","-0.14%"
"Mar 14, 2019","7.787","7.798","7.798","7.781","0.06%"
"Mar 13, 2019","7.782","7.782","7.782","7.779","0.12%"
"Mar 12, 2019","7.773","7.804","7.804","7.766","0.04%"
"Mar 11, 2019","7.770","7.793","7.793","7.758","0.06%"
"Mar 08, 2019","7.765","7.810","7.810","7.754","-0.08%"
"Mar 07, 2019","7.771","7.810","7.810","7.771","0.00%"
"Mar 06, 2019","7.771","7.787","7.787","7.771","-0.06%"
"Mar 05, 2019","7.776","7.793","7.793","7.775","-0.29%"
"Mar 01, 2019","7.799","7.821","7.821","7.799","-0.46%"
"Feb 28, 2019","7.835","7.844","7.844","7.835","0.24%"
"Feb 27, 2019","7.816","7.810","7.876","7.779","0.54%"
"Feb 26, 2019","7.774","7.799","7.799","7.774","0.15%"
"Feb 25, 2019","7.762","7.799","7.799","7.762","-0.01%"
"Feb 22, 2019","7.763","7.777","7.799","7.749","0.40%"
"Feb 21, 2019","7.732","7.777","7.777","7.732","0.00%"
"Feb 20, 2019","7.732","7.777","7.777","7.732","0.03%"
"Feb 18, 2019","7.730","7.799","7.799","7.730","0.03%"
"Feb 15, 2019","7.728","7.732","7.788","7.728","0.66%"
"Feb 14, 2019","7.677","7.710","7.710","7.677","0.29%"
"Feb 13, 2019","7.655","7.666","7.677","7.655","-0.65%"
"Feb 12, 2019","7.705","7.732","7.732","7.705","-0.06%"
"Feb 11, 2019","7.710","7.721","7.721","7.709","0.61%"
"Feb 08, 2019","7.663","7.666","7.751","7.663","0.14%"
"Feb 07, 2019","7.652","7.680","7.680","7.652","-0.73%"
"Feb 06, 2019","7.708","7.766","7.766","7.708","-0.26%"
"Feb 05, 2019","7.728","7.800","7.800","7.728","-0.54%"
"Feb 04, 2019","7.770","7.733","7.800","7.733","1.79%"
"Feb 01, 2019","7.633","7.633","7.766","7.633","-0.24%"
"Jan 31, 2019","7.651","7.651","7.651","7.651","0.30%"
"Jan 30, 2019","7.628","7.710","7.710","7.628","-0.60%"
"Jan 29, 2019","7.674","7.674","7.674","7.674","-0.21%"
"Jan 28, 2019","7.690","7.710","7.710","7.690","-0.06%"
"Jan 25, 2019","7.695","7.699","7.699","7.695","0.39%"
"Jan 24, 2019","7.665","7.665","7.665","7.665","-0.39%"
"Jan 23, 2019","7.695","7.649","7.695","7.649","0.34%"
"Jan 22, 2019","7.669","7.698","7.698","7.669","-0.70%"
"Jan 21, 2019","7.723","7.723","7.723","7.723","1.13%"
"Jan 18, 2019","7.637","7.686","7.686","7.637","0.00%"
"Jan 17, 2019","7.637","7.710","7.710","7.637","-0.16%"
"Jan 16, 2019","7.649","7.679","7.685","7.649","0.49%"
"Jan 15, 2019","7.612","7.612","7.612","7.612","0.32%"
"Jan 14, 2019","7.588","7.629","7.629","7.588","-0.13%"
"Jan 11, 2019","7.598","7.599","7.600","7.598","-0.47%"
"Jan 10, 2019","7.634","7.642","7.648","7.634","-0.01%"
"Jan 09, 2019","7.635","7.635","7.635","7.635","0.73%"
"Jan 08, 2019","7.580","7.709","7.709","7.580","-1.97%"
"Jan 07, 2019","7.732","7.672","7.732","7.654","1.26%"
"Jan 04, 2019","7.636","7.636","7.636","7.636","0.49%"
"Jan 03, 2019","7.599","7.628","7.628","7.599","-0.04%"
"Jan 02, 2019","7.602","7.628","7.628","7.602","-0.03%"
"Jan 01, 2019","7.604","7.604","7.604","7.604","0.46%"
"Dec 31, 2018","7.569","7.599","7.599","7.569","-0.39%"
"Dec 28, 2018","7.599","7.587","7.599","7.557","0.96%"
"Dec 27, 2018","7.527","7.587","7.587","7.527","-0.15%"
"Dec 26, 2018","7.538","7.538","7.556","7.527","-0.16%"
"Dec 24, 2018","7.550","7.586","7.586","7.550","0.11%"
"Dec 21, 2018","7.542","7.586","7.586","7.542","0.07%"
"Dec 20, 2018","7.537","7.574","7.574","7.532","0.04%"
"Dec 19, 2018","7.534","7.574","7.574","7.534","-1.31%"
"Dec 18, 2018","7.634","7.652","7.652","7.634","0.08%"
"Dec 17, 2018","7.628","7.646","7.646","7.628","0.36%"
"Dec 14, 2018","7.601","7.652","7.652","7.601","-0.39%"
"Dec 13, 2018","7.631","7.631","7.631","7.631","-0.27%"
"Dec 12, 2018","7.652","7.652","7.652","7.652","-0.80%"
"Dec 11, 2018","7.714","7.714","7.714","7.714","-0.09%"
"Dec 10, 2018","7.721","7.721","7.721","7.721","1.54%"
"Dec 07, 2018","7.604","7.635","7.635","7.604","-0.61%"
"Dec 06, 2018","7.651","7.651","7.651","7.651","-0.26%"
"Dec 05, 2018","7.671","7.670","7.671","7.670","-1.08%"
"Dec 04, 2018","7.755","7.755","7.755","7.755","-0.68%"
"Dec 03, 2018","7.808","7.817","7.817","7.808","0.21%"
"Nov 30, 2018","7.792","7.792","7.792","7.792","0.55%"
"Nov 29, 2018","7.749","7.828","7.828","7.749","-1.54%"
"Nov 28, 2018","7.870","7.928","7.928","7.870","-0.51%"
"Nov 27, 2018","7.910","7.909","7.928","7.909","0.05%"
"Nov 26, 2018","7.906","7.906","7.906","7.906","0.00%"
"Nov 22, 2018","7.906","7.952","7.952","7.906","-0.96%"
"Nov 20, 2018","7.983","8.038","8.038","7.983","-0.56%"
"Nov 19, 2018","8.028","8.028","8.028","8.028","-0.41%"
"Nov 16, 2018","8.061","7.995","8.061","7.995","0.61%"
"Nov 15, 2018","8.012","7.963","8.012","7.963","1.02%"
"Nov 14, 2018","7.931","7.963","7.973","7.931","-1.21%"
"Nov 13, 2018","8.028","8.051","8.051","8.028","-0.53%"
"Nov 12, 2018","8.071","8.071","8.071","8.071","0.60%"
"Nov 09, 2018","8.023","8.064","8.064","8.023","0.29%"
"Nov 06, 2018","8.000","8.000","8.000","8.000","-0.12%"
"Nov 05, 2018","8.010","8.075","8.075","8.010","-0.50%"
"Nov 02, 2018","8.050","8.107","8.107","8.050","-0.02%"
"Nov 01, 2018","8.052","8.151","8.151","8.052","-0.67%"
"Oct 31, 2018","8.106","8.113","8.158","8.106","-0.55%"
"Oct 30, 2018","8.151","8.177","8.187","8.151","0.16%"
"Oct 29, 2018","8.138","8.222","8.222","8.138","-0.80%"
"Oct 26, 2018","8.204","8.261","8.261","8.204","0.11%"
"Oct 25, 2018","8.195","8.240","8.267","8.195","-0.04%"
"Oct 24, 2018","8.198","8.267","8.267","8.198","-0.44%"
"Oct 23, 2018","8.234","8.319","8.319","8.234","-0.23%"
"Oct 22, 2018","8.253","8.260","8.299","8.253","-0.35%"
"Oct 19, 2018","8.282","8.331","8.331","8.282","0.07%"
"Oct 17, 2018","8.276","8.331","8.331","8.276","0.45%"
"Oct 16, 2018","8.239","8.330","8.330","8.239","-0.33%"
"Oct 15, 2018","8.266","8.266","8.266","8.266","-0.17%"
"Oct 12, 2018","8.280","8.330","8.335","8.280","-0.23%"
"Oct 11, 2018","8.299","8.329","8.362","8.299","-0.12%"
"Oct 10, 2018","8.309","8.329","8.356","8.309","-0.75%"
"Oct 09, 2018","8.372","8.329","8.372","8.329","1.20%"
"Oct 08, 2018","8.273","8.329","8.329","8.273","0.04%"
"Oct 05, 2018","8.270","8.394","8.461","8.270","-1.76%"
"Oct 04, 2018","8.418","8.434","8.434","8.418","0.75%"
"Oct 03, 2018","8.355","8.355","8.355","8.355","1.04%"
"Oct 01, 2018","8.269","8.264","8.301","8.262","-0.08%"
"Sep 28, 2018","8.276","8.281","8.314","8.276","0.02%"
"Sep 27, 2018","8.274","8.320","8.320","8.274","-0.47%"
"Sep 26, 2018","8.313","8.407","8.407","8.313","-0.31%"
"Sep 25, 2018","8.339","8.379","8.379","8.339","0.47%"
"Sep 24, 2018","8.300","8.352","8.361","8.300","0.31%"
"Sep 21, 2018","8.274","8.321","8.411","8.274","-0.28%"
"Sep 19, 2018","8.297","8.404","8.404","8.297","-0.35%"
"Sep 18, 2018","8.326","8.326","8.326","8.326","-0.14%"
"Sep 17, 2018","8.338","8.391","8.391","8.338","-0.16%"
"Sep 14, 2018","8.351","8.390","8.390","8.351","-0.14%"
"Sep 12, 2018","8.363","8.390","8.390","8.363","-0.31%"
"Sep 11, 2018","8.389","8.449","8.449","8.389","-0.24%"
"Sep 10, 2018","8.409","8.402","8.469","8.402","0.73%"
"Sep 07, 2018","8.348","8.402","8.402","8.343","-0.48%"
"Sep 06, 2018","8.388","8.445","8.445","8.388","0.36%"
"Sep 05, 2018","8.358","8.388","8.421","8.358","0.11%"
"Sep 04, 2018","8.349","8.408","8.408","8.316","0.49%"
"Sep 03, 2018","8.308","8.296","8.355","8.283","0.23%"
"Aug 31, 2018","8.289","8.305","8.322","8.287","1.22%"
"Aug 30, 2018","8.189","8.251","8.300","8.189","0.23%"
"Aug 29, 2018","8.170","8.250","8.276","8.170","-0.41%"
"Aug 28, 2018","8.204","8.226","8.250","8.204","0.17%"
"Aug 27, 2018","8.190","8.211","8.211","8.189","0.06%"
"Aug 24, 2018","8.185","8.198","8.210","8.163","0.18%"
"Aug 23, 2018","8.170","8.175","8.180","8.164","0.53%"
"Aug 21, 2018","8.127","8.160","8.160","8.127","-0.18%"
"Aug 20, 2018","8.142","8.171","8.171","8.142","-0.35%"
"Aug 16, 2018","8.171","8.171","8.190","8.171","0.23%"
"Aug 14, 2018","8.152","8.138","8.152","8.119","0.41%"
"Aug 13, 2018","8.119","8.144","8.151","8.119","0.37%"
"Aug 10, 2018","8.089","8.074","8.099","8.074","0.19%"
"Aug 09, 2018","8.074","8.125","8.125","8.074","-0.26%"
"Aug 08, 2018","8.095","8.112","8.112","8.095","-0.06%"
"Aug 07, 2018","8.100","8.086","8.124","8.086","0.14%"
"Aug 06, 2018","8.089","8.099","8.118","8.089","0.09%"
"Aug 03, 2018","8.082","8.111","8.129","8.082","0.35%"
"Aug 02, 2018","8.054","8.035","8.123","8.035","0.09%"
"Aug 01, 2018","8.047","8.113","8.134","8.047","-1.11%"
"Jul 31, 2018","8.137","8.181","8.181","8.116","0.17%"
"Jul 30, 2018","8.123","8.136","8.155","8.123","0.06%"
"Jul 27, 2018","8.118","8.142","8.142","8.113","0.22%"
"Jul 26, 2018","8.100","8.148","8.148","8.100","-0.12%"
"Jul 25, 2018","8.110","8.148","8.148","8.110","0.00%"
"Jul 24, 2018","8.110","8.154","8.186","8.110","-0.23%"
"Jul 23, 2018","8.129","8.122","8.154","8.116","0.17%"
"Jul 20, 2018","8.115","8.122","8.135","8.115","0.77%"
"Jul 19, 2018","8.053","8.103","8.103","8.053","-0.01%"
"Jul 18, 2018","8.054","8.090","8.090","8.054","0.19%"
"Jul 17, 2018","8.039","8.102","8.102","8.039","-0.57%"
"Jul 16, 2018","8.085","8.128","8.185","8.085","-0.11%"
"Jul 13, 2018","8.094","8.121","8.121","8.094","0.06%"
"Jul 12, 2018","8.089","8.131","8.165","8.089","-0.54%"
"Jul 11, 2018","8.133","8.184","8.184","8.133","-0.16%"
"Jul 10, 2018","8.146","8.183","8.183","8.146","0.09%"
"Jul 09, 2018","8.139","8.159","8.178","8.139","-0.02%"
"Jul 06, 2018","8.141","8.178","8.178","8.141","0.07%"
"Jul 05, 2018","8.135","8.158","8.158","8.135","0.35%"
"Jul 04, 2018","8.107","8.177","8.184","8.107","0.01%"
"Jul 03, 2018","8.106","8.177","8.177","8.106","-0.14%"
"Jul 02, 2018","8.117","8.139","8.139","8.117","-0.12%"
"Jun 29, 2018","8.127","8.158","8.158","8.127","-0.62%"
"Jun 28, 2018","8.178","8.208","8.208","8.178","1.03%"
"Jun 27, 2018","8.095","8.106","8.132","8.095","-0.20%"
"Jun 26, 2018","8.111","8.138","8.151","8.100","0.35%"
"Jun 25, 2018","8.083","8.119","8.131","8.083","0.16%"
"Jun 22, 2018","8.070","8.106","8.106","8.070","0.50%"
"Jun 21, 2018","8.030","8.118","8.118","8.030","-0.26%"
"Jun 20, 2018","8.051","8.131","8.131","8.051","-0.41%"
"Jun 19, 2018","8.084","8.131","8.131","8.084","-0.10%"
"Jun 18, 2018","8.092","8.091","8.118","8.086","-0.34%"
"Jun 15, 2018","8.120","8.120","8.120","8.120","-0.61%"
"Jun 14, 2018","8.170","8.170","8.170","8.170","0.21%"
"Jun 13, 2018","8.153","8.153","8.153","8.153","-0.43%"
"Jun 12, 2018","8.188","8.188","8.188","8.188","-0.09%"
"Jun 11, 2018","8.195","8.195","8.195","8.195","0.68%"
"Jun 08, 2018","8.140","8.170","8.170","8.140","-0.50%"
"Jun 07, 2018","8.181","8.181","8.181","8.181","1.07%"
"Jun 06, 2018","8.094","8.094","8.094","8.094","0.83%"
"Jun 05, 2018","8.027","8.027","8.027","8.027","-0.66%"
"Jun 04, 2018","8.080","8.110","8.110","8.080","0.96%"
"Jun 01, 2018","8.003","8.028","8.103","8.003","-0.17%"
"May 31, 2018","8.017","8.017","8.017","8.017","0.28%"
"May 30, 2018","7.995","7.995","7.995","7.995","0.19%"
"May 29, 2018","7.980","7.980","7.980","7.980","0.15%"
"May 28, 2018","7.968","8.052","8.052","7.968","-0.72%"
"May 25, 2018","8.026","8.026","8.026","8.026","-1.08%"
"May 24, 2018","8.114","8.127","8.127","8.114","0.17%"
"May 23, 2018","8.100","8.120","8.120","8.100","0.58%"
"May 22, 2018","8.053","8.053","8.053","8.053","-0.30%"
"May 21, 2018","8.077","8.126","8.126","8.077","-0.05%"
"May 20, 2018","8.081","8.081","8.081","8.081","0.00%"
"May 18, 2018","8.081","8.050","8.081","8.050","-0.02%"
"May 17, 2018","8.083","8.083","8.083","8.083","-0.20%"
"May 16, 2018","8.099","8.099","8.099","8.099","-0.12%"
"May 15, 2018","8.109","8.109","8.109","8.109","0.88%"
"May 14, 2018","8.038","8.038","8.038","8.038","1.29%"
"May 11, 2018","7.936","7.936","7.936","7.936","0.03%"
"May 10, 2018","7.934","7.934","7.934","7.934","0.04%"
"May 09, 2018","7.931","7.931","7.931","7.931","1.56%"
"May 08, 2018","7.809","7.809","7.809","7.809","-1.04%"
"May 07, 2018","7.891","7.891","7.891","7.891","-0.85%"
"May 04, 2018","7.959","7.959","7.959","7.959","0.28%"
"May 03, 2018","7.937","7.937","7.937","7.937","0.11%"
"May 02, 2018","7.928","7.954","7.954","7.928","-0.28%"
"Apr 27, 2018","7.950","7.950","7.950","7.950","0.14%"
"Apr 26, 2018","7.939","7.939","7.939","7.939","0.20%"
"Apr 25, 2018","7.923","7.971","7.990","7.923","0.25%"
"Apr 24, 2018","7.903","8.002","8.002","7.885","-0.47%"
"Apr 23, 2018","7.940","7.958","7.983","7.940","1.33%"
"Apr 20, 2018","7.836","7.836","7.946","7.836","1.82%"
"Apr 19, 2018","7.696","7.696","7.696","7.696","0.69%"
"Apr 18, 2018","7.643","7.768","7.799","7.643","0.76%"
"Apr 17, 2018","7.585","7.585","7.585","7.585","-0.98%"
"Apr 16, 2018","7.660","7.678","7.708","7.660","0.88%"
"Apr 13, 2018","7.593","7.593","7.593","7.593","-0.50%"
"Apr 12, 2018","7.631","7.707","7.743","7.631","0.03%"
"Apr 11, 2018","7.629","7.677","7.743","7.629","0.93%"
"Apr 10, 2018","7.559","7.559","7.618","7.559","1.02%"
"Apr 09, 2018","7.483","7.512","7.512","7.483","0.39%"
"Apr 06, 2018","7.454","7.506","7.506","7.453","0.39%"
"Apr 05, 2018","7.425","7.576","7.576","7.425","-1.99%"
"Apr 04, 2018","7.576","7.669","7.669","7.576","-0.20%"
"Apr 03, 2018","7.591","7.635","7.676","7.591","-0.58%"
"Mar 28, 2018","7.635","7.647","7.676","7.635","0.08%"
"Mar 27, 2018","7.629","7.735","7.735","7.629","-3.49%"
"Mar 26, 2018","7.905","7.917","7.917","7.905","0.55%"
"Mar 23, 2018","7.862","7.868","7.893","7.857","-0.15%"
"Mar 22, 2018","7.874","7.929","7.929","7.874","-0.15%"
"Mar 21, 2018","7.886","7.978","7.978","7.886","0.00%"
"Mar 20, 2018","7.886","7.947","7.947","7.886","-0.08%"
"Mar 19, 2018","7.892","7.916","7.916","7.874","0.24%"
"Mar 16, 2018","7.873","7.953","7.953","7.873","-1.16%"
"Mar 15, 2018","7.965","7.977","7.977","7.965","-0.08%"
"Mar 14, 2018","7.971","7.990","7.990","7.971","0.11%"
"Mar 13, 2018","7.962","7.965","7.965","7.962","0.13%"
"Mar 12, 2018","7.952","7.960","7.960","7.952","-0.15%"
"Mar 09, 2018","7.964","8.002","8.002","7.964","0.15%"
"Mar 08, 2018","7.952","7.952","7.952","7.952","-0.53%"
"Mar 07, 2018","7.994","8.032","8.032","7.994","-0.55%"
"Mar 06, 2018","8.038","8.038","8.038","8.038","-0.51%"
"Mar 05, 2018","8.079","8.050","8.079","8.050","0.51%"
"Mar 01, 2018","8.038","8.038","8.038","8.038","0.09%"
"Feb 28, 2018","8.031","8.006","8.031","8.006","0.46%"
"Feb 27, 2018","7.994","8.031","8.031","7.994","-0.54%"
"Feb 26, 2018","8.037","8.027","8.037","8.027","0.20%"
"Feb 23, 2018","8.021","8.009","8.021","8.009","-0.11%"
"Feb 22, 2018","8.030","8.055","8.055","8.030","0.55%"
"Feb 21, 2018","7.986","7.959","7.986","7.959","0.15%"
"Feb 20, 2018","7.974","7.933","7.974","7.933","1.09%"
"Feb 18, 2018","7.888","7.888","7.888","7.888","0.00%"
"Feb 16, 2018","7.888","7.921","7.921","7.888","-0.30%"
"Feb 15, 2018","7.912","7.881","7.912","7.881","1.02%"
"Feb 14, 2018","7.832","7.912","7.912","7.832","-1.01%"
"Feb 12, 2018","7.912","7.906","7.912","7.906","0.01%"
"Feb 09, 2018","7.911","7.876","7.911","7.876","0.41%"
"Feb 08, 2018","7.879","7.879","7.879","7.879","-0.39%"
"Feb 07, 2018","7.910","7.956","7.956","7.910","-0.40%"
"Feb 06, 2018","7.942","7.972","7.972","7.942","-0.79%"
"Feb 05, 2018","8.005","7.999","8.005","7.999","0.69%"
"Feb 02, 2018","7.950","7.978","7.978","7.950","0.11%"
"Feb 01, 2018","7.941","7.813","7.941","7.813","1.95%"
"Jan 31, 2018","7.789","7.789","7.789","7.789","-0.15%"
"Jan 30, 2018","7.801","7.765","7.801","7.765","0.17%"
"Jan 29, 2018","7.788","7.735","7.788","7.735","1.16%"
"Jan 25, 2018","7.699","7.731","7.731","7.699","0.00%"
"Jan 24, 2018","7.699","7.681","7.699","7.681","-0.47%"
"Jan 23, 2018","7.735","7.740","7.740","7.735","-0.28%"
"Jan 22, 2018","7.757","7.776","7.776","7.757","-0.03%"
"Jan 19, 2018","7.759","7.756","7.759","7.756","-0.19%"
"Jan 18, 2018","7.774","7.752","7.774","7.752","0.78%"
"Jan 17, 2018","7.714","7.698","7.714","7.698","-0.87%"
"Jan 16, 2018","7.782","7.774","7.782","7.774","0.75%"
"Jan 15, 2018","7.724","7.724","7.724","7.724","0.00%"
"Jan 12, 2018","7.724","7.713","7.724","7.713","0.14%"
"Jan 11, 2018","7.713","7.685","7.713","7.685","0.08%"
"Jan 10, 2018","7.707","7.685","7.707","7.685","0.86%"
"Jan 09, 2018","7.641","7.629","7.641","7.629","0.74%"
"Jan 08, 2018","7.585","7.632","7.632","7.585","-0.45%"
"Jan 05, 2018","7.619","7.646","7.646","7.619","-0.86%"
"Jan 04, 2018","7.685","7.652","7.685","7.652","0.00%"
"Jan 03, 2018","7.685","7.685","7.685","7.685","0.00%"
"Jan 02, 2018","7.685","7.680","7.685","7.680","0.67%"
"Jan 01, 2018","7.634","7.623","7.634","7.623","0.01%"
"Dec 29, 2017","7.633","7.661","7.661","7.633","-0.78%"
"Dec 28, 2017","7.693","7.660","7.693","7.660","1.75%"
"Dec 27, 2017","7.561","7.586","7.586","7.561","-0.26%"
"Dec 26, 2017","7.581","7.597","7.597","7.581","-0.17%"
"Dec 22, 2017","7.594","7.594","7.594","7.594","0.18%"
"Dec 21, 2017","7.580","7.588","7.588","7.580","0.17%"
"Dec 20, 2017","7.567","7.554","7.567","7.554","0.29%"
"Dec 19, 2017","7.545","7.545","7.545","7.545","0.00%"
"Dec 18, 2017","7.545","7.539","7.545","7.539","0.27%"
"Dec 16, 2017","7.525","7.525","7.525","7.525","0.00%"
"Dec 15, 2017","7.525","7.531","7.531","7.525","-0.08%"
"Dec 14, 2017","7.531","7.542","7.542","7.531","-0.29%"
"Dec 13, 2017","7.553","7.580","7.580","7.553","0.00%"
"Dec 12, 2017","7.553","7.583","7.583","7.553","0.25%"
"Dec 11, 2017","7.534","7.502","7.534","7.502","0.43%"
"Dec 08, 2017","7.502","7.502","7.502","7.502","0.21%"
"Dec 07, 2017","7.486","7.475","7.486","7.475","0.15%"
"Dec 06, 2017","7.475","7.500","7.500","7.475","-0.12%"
"Dec 05, 2017","7.484","7.484","7.484","7.484","-0.07%"
"Dec 04, 2017","7.489","7.472","7.489","7.472","0.38%"
"Nov 30, 2017","7.461","7.456","7.461","7.456","0.24%"
"Nov 29, 2017","7.443","7.438","7.443","7.438","0.03%"
"Nov 28, 2017","7.441","7.441","7.441","7.441","0.00%"
"Nov 27, 2017","7.441","7.441","7.441","7.441","0.22%"
"Nov 24, 2017","7.425","7.488","7.488","7.425","-0.67%"
"Nov 23, 2017","7.475","7.475","7.475","7.475","0.43%"
"Nov 22, 2017","7.443","7.437","7.443","7.437","0.51%"
"Nov 21, 2017","7.405","7.405","7.405","7.405","0.28%"
"Nov 20, 2017","7.384","7.400","7.400","7.384","-0.81%"
"Nov 17, 2017","7.444","7.403","7.444","7.403","-0.17%"
"Nov 16, 2017","7.457","7.441","7.457","7.441","0.46%"
"Nov 15, 2017","7.423","7.426","7.426","7.423","-0.34%"
"Nov 14, 2017","7.448","7.448","7.448","7.448","0.73%"
"Nov 13, 2017","7.394","7.442","7.442","7.394","-0.54%"
"Nov 10, 2017","7.434","7.405","7.434","7.405","0.39%"
"Nov 09, 2017","7.405","7.405","7.405","7.405","0.00%"
"Nov 08, 2017","7.405","7.405","7.405","7.405","0.00%"
"Nov 07, 2017","7.405","7.405","7.405","7.405","0.20%"
"Nov 06, 2017","7.390","7.390","7.390","7.390","0.30%"
"Nov 03, 2017","7.368","7.368","7.368","7.368","-0.23%"
"Nov 02, 2017","7.385","7.390","7.390","7.385","0.67%"
"Nov 01, 2017","7.336","7.331","7.336","7.331","0.22%"
"Oct 31, 2017","7.320","7.316","7.320","7.316","-0.16%"
"Oct 30, 2017","7.332","7.300","7.332","7.300","0.65%"
"Oct 29, 2017","7.285","7.285","7.285","7.285","0.00%"
"Oct 27, 2017","7.285","7.300","7.300","7.285","0.07%"
"Oct 26, 2017","7.280","7.280","7.280","7.280","0.00%"
"Oct 25, 2017","7.280","7.277","7.280","7.277","0.33%"
"Oct 24, 2017","7.256","7.256","7.256","7.256","-0.11%"
"Oct 23, 2017","7.264","7.259","7.264","7.259","0.25%"
"Oct 22, 2017","7.246","7.246","7.246","7.246","0.00%"
"Oct 18, 2017","7.246","7.246","7.246","7.246","0.00%"
"Oct 17, 2017","7.246","7.246","7.246","7.246","0.30%"
"Oct 16, 2017","7.224","7.224","7.224","7.224","-0.06%"
"Oct 13, 2017","7.228","7.228","7.228","7.228","-0.14%"
"Oct 12, 2017","7.238","7.234","7.238","7.234","0.06%"
"Oct 11, 2017","7.234","7.240","7.240","7.234","-0.06%"
"Oct 10, 2017","7.238","7.246","7.246","7.238","-0.11%"
"Oct 09, 2017","7.246","7.239","7.246","7.239","0.10%"
"Oct 06, 2017","7.239","7.228","7.239","7.228","0.22%"
"Oct 05, 2017","7.223","7.221","7.223","7.221","0.33%"
"Oct 04, 2017","7.199","7.167","7.199","7.167","0.40%"
"Oct 03, 2017","7.170","7.173","7.173","7.170","-0.11%"
"Sep 29, 2017","7.178","7.160","7.178","7.160","0.21%"
"Sep 28, 2017","7.163","7.184","7.184","7.163","-0.29%"
"Sep 27, 2017","7.184","7.205","7.205","7.184","-0.36%"
