"Date","Price","Open","High","Low","Change %"
"Dec 12, 2022","7.483","7.483","7.483","7.483","-0.12%"
"Dec 09, 2022","7.492","7.492","7.492","7.492","0.56%"
"Dec 08, 2022","7.450","7.450","7.450","7.450","0.24%"
"Dec 07, 2022","7.432","7.432","7.432","7.432","0.12%"
"Dec 06, 2022","7.423","7.423","7.423","7.423","0.09%"
"Dec 05, 2022","7.416","7.416","7.416","7.416","0.14%"
"Dec 02, 2022","7.406","7.406","7.406","7.406","0.33%"
"Dec 01, 2022","7.382","7.382","7.382","7.382","-0.38%"
"Nov 30, 2022","7.410","7.410","7.410","7.410","-0.07%"
"Nov 29, 2022","7.415","7.415","7.415","7.415","0.03%"
"Nov 28, 2022","7.413","7.413","7.413","7.413","-0.46%"
"Nov 25, 2022","7.447","7.447","7.447","7.447","0.78%"
"Nov 24, 2022","7.389","7.389","7.389","7.389","-0.58%"
"Nov 23, 2022","7.432","7.432","7.432","7.432","-0.04%"
"Nov 22, 2022","7.435","7.435","7.435","7.435","-0.36%"
"Nov 21, 2022","7.462","7.462","7.462","7.462","0.13%"
"Nov 18, 2022","7.452","7.452","7.452","7.452","0.08%"
"Nov 17, 2022","7.446","7.446","7.446","7.446","0.12%"
"Nov 16, 2022","7.437","7.437","7.437","7.437","-0.09%"
"Nov 15, 2022","7.444","7.444","7.444","7.444","-0.19%"
"Nov 14, 2022","7.458","7.458","7.458","7.458","-0.11%"
"Nov 11, 2022","7.466","7.466","7.466","7.466","-0.27%"
"Nov 10, 2022","7.486","7.486","7.486","7.486","-0.62%"
"Nov 09, 2022","7.533","7.533","7.533","7.533","-0.48%"
"Nov 07, 2022","7.569","7.569","7.569","7.569","-0.45%"
"Nov 04, 2022","7.603","7.603","7.603","7.603","-0.29%"
"Nov 03, 2022","7.625","7.625","7.625","7.625","1.21%"
"Nov 02, 2022","7.534","7.534","7.534","7.534","0.08%"
"Nov 01, 2022","7.528","7.528","7.528","7.528","-0.17%"
"Oct 31, 2022","7.541","7.541","7.541","7.541","0.49%"
"Oct 28, 2022","7.504","7.504","7.504","7.504","-0.01%"
"Oct 27, 2022","7.505","7.505","7.505","7.505","-0.48%"
"Oct 25, 2022","7.541","7.541","7.541","7.541","-0.53%"
"Oct 21, 2022","7.581","7.581","7.581","7.581","0.41%"
"Oct 20, 2022","7.550","7.550","7.550","7.550","0.15%"
"Oct 19, 2022","7.539","7.539","7.539","7.539","0.23%"
"Oct 18, 2022","7.522","7.522","7.522","7.522","0.04%"
"Oct 17, 2022","7.519","7.519","7.519","7.519","-0.65%"
"Oct 14, 2022","7.568","7.568","7.568","7.568","0.64%"
"Oct 13, 2022","7.520","7.520","7.520","7.520","-0.01%"
"Oct 12, 2022","7.521","7.521","7.521","7.521","0.04%"
"Oct 11, 2022","7.518","7.518","7.518","7.518","-0.62%"
"Oct 10, 2022","7.565","7.565","7.565","7.565","0.32%"
"Oct 07, 2022","7.541","7.541","7.541","7.541","0.45%"
"Oct 06, 2022","7.507","7.507","7.507","7.507","0.83%"
"Oct 04, 2022","7.445","7.445","7.445","7.445","-1.55%"
"Oct 03, 2022","7.562","7.562","7.562","7.562","0.67%"
"Sep 30, 2022","7.512","7.512","7.512","7.512","0.87%"
"Sep 29, 2022","7.447","7.447","7.447","7.447","-0.45%"
"Sep 28, 2022","7.481","7.481","7.481","7.481","0.52%"
"Sep 27, 2022","7.442","7.442","7.442","7.442","-0.97%"
"Sep 26, 2022","7.515","7.515","7.515","7.515","-0.05%"
"Sep 23, 2022","7.519","7.519","7.519","7.519","1.21%"
"Sep 22, 2022","7.429","7.429","7.429","7.429","0.90%"
"Sep 21, 2022","7.363","7.363","7.363","7.363","-0.43%"
"Sep 20, 2022","7.395","7.372","7.395","7.365","0.31%"
"Sep 19, 2022","7.372","7.346","7.372","7.346","0.07%"
"Sep 16, 2022","7.367","7.367","7.367","7.367","0.34%"
"Sep 15, 2022","7.342","7.342","7.342","7.342","0.80%"
"Sep 14, 2022","7.284","7.284","7.284","7.284","0.52%"
"Sep 13, 2022","7.246","7.246","7.246","7.246","-1.05%"
"Sep 12, 2022","7.323","7.323","7.323","7.323","0.03%"
"Sep 09, 2022","7.321","7.321","7.321","7.321","0.22%"
"Sep 08, 2022","7.305","7.305","7.305","7.305","-0.44%"
"Sep 07, 2022","7.337","7.337","7.337","7.337","-0.27%"
"Sep 06, 2022","7.357","7.357","7.357","7.357","-0.37%"
"Sep 05, 2022","7.384","7.384","7.384","7.384","-0.18%"
"Sep 02, 2022","7.397","7.397","7.397","7.397","0.05%"
"Sep 01, 2022","7.393","7.393","7.393","7.393","0.46%"
"Aug 30, 2022","7.359","7.359","7.359","7.359","-0.70%"
"Aug 29, 2022","7.411","7.411","7.411","7.411","0.24%"
"Aug 26, 2022","7.393","7.448","7.448","7.393","-1.19%"
"Aug 25, 2022","7.482","7.482","7.482","7.482","0.11%"
"Aug 24, 2022","7.474","7.474","7.474","7.474","-0.07%"
